# Santiam Hospital & Clinics — top posts by Likes & Reactions, Jan 1 – Aug 31 2026
# Source: Meta Business Suite > Insights > Content, sorted by Likes and reactions desc
# NOTE: "_from_ads" columns show the boosted (paid) portion. Organic = total - from_ads.
# date	platform	reach	reach_from_ads	likes	likes_from_ads	shares	caption(truncated)
Fri Jun 19, 10:00am	FB	1580	1034	534	528	6	Today we honor Juneteenth — a day recognizing
Mon Jan 19, 10:00am	FB	1648	624	204	188	24	Honoring the life and legacy of Dr. Martin Luther King Jr.
Mon Jan 19, 6:52pm	FB+IG	30591	0	197	0	53	Santiam Hospital & Clinics and Salem Health partnership
Wed Jan 21, 10:34am	FB+IG	12330	0	157	0	39	We hear you and your questions regarding Regence
Wed Feb 11, 12:51pm	FB	8780	0	148	0	5	Construction is officially underway at the future Women's Center
Mon Jun 29, 10:00am	FB	12909	343	147	34	2	A heads-up for our coffee lovers, Santiam!
Thu May 28, 10:00am	FB	7376	0	135	0	17	Right now, residents of Mill City, Idanha, Detroit
Thu Jun 25, 10:00am	FB	3284	883	128	85	20	We're honored, humbled, and so grateful, Santiam
Sun Jun 21, 10:00am	FB	1177	803	123	120	2	Happy Father's Day to all the amazing dads
Mon Feb 16, 10:00am	FB	900	481	120	113	5	Happy Presidents' Day
Mon May 25, 10:00am	FB	917	539	119	108	3	Today, we pause with deep gratitude to remember
Sun Jun 14, 10:00am	FB	909	507	104	90	1	Today we honor the symbol that represents our
Thu Jul 23, 10:00am	FB	1959	191	103	59	8	We're honored, humbled, and so grateful for
Tue Feb 24, 10:00am	FB	1311	349	101	90	3	We're proud to share that Santiam Hospital
Wed Jul 22, 10:00am	FB	860	303	99	96	7	Some symptoms are easy to brush off. Others
Thu Jun 4, 10:00am	FB	1749	518	93	55	4	This one's for our incredible Emergency Department
Wed Jul 29, 12:22pm	FB	5536	0	89	0	6	When seconds count, you shouldn't have to drive
Wed Feb 11, 12:52pm	IG	861	0	77	0	5	Construction is officially underway (IG)
Thu Feb 12, 4:00pm	FB+IG	4775	0	77	0	3	This morning, Maggie Hudson, MBA, President
Mon Feb 2, 9:58am	FB	2167	381	76	42	4	Santiam Hospital & Clinics is proud to share
Wed Jun 10, 5:09pm	FB+IG	2892	0	75	0	6	Another year in the books for the 37th Annual
Thu Apr 9, 10:00am	FB	816	229	75	69	3	Join us next Tuesday, April 14 from 10-11 a.m.
