# Santiam Hospital & Clinics — top posts by Reach, Jan 1 – Aug 31 2026
# Source: Meta Business Suite > Insights > Content, sorted by Reach desc
# date	platform	media_type	reach	likes_reactions	shares	caption(truncated)
Mon Jan 19, 6:52pm	FB+IG	Photo	30591	197	53	Santiam Hospital & Clinics and Salem Health Hospitals & Clinics are taking the next step toward a partnership
Mon Jun 29, 10:00am	FB	Photo	12909	147	2	A heads-up for our coffee lovers, Santiam! Coffee Corner open 7:00 AM to 5:00 PM
Wed Jan 21, 10:34am	FB+IG	Reel	12330	157	39	We hear you and your questions regarding Regence Blue Cross Blue Shield — message from CEO Maggie Hudson
Wed Feb 11, 12:51pm	FB	Multi media	8780	148	5	Construction is officially underway at the future Santiam Women's Center
Thu Jan 22, 10:00am	FB	Photo	7697	72	2	We're pleased to welcome Taylor E. Brown, NP, and Taylor Abdala, PA
Thu May 28, 10:00am	FB	Photo	7376	135	17	Right now, residents of Mill City, Idanha, Detroit, and the Santiam Canyon
Tue Feb 10, 4:46pm	FB	Multi media	7237	58	5	Today, Cheryl Nester Wolfe, RN, President & CEO of Salem Health
Wed Feb 11, 2:24pm	FB	Photo	5539	28	57	We look forward to you joining Santiam Hospital & Clinics and Salem Health
Wed Jul 29, 12:22pm	FB	Photo	5536	89	6	When seconds count...
Thu Feb 12, 4:00pm	FB+IG	Multi media	4775	77	3	This morning, Maggie Hudson, MBA, President & CEO
Fri Feb 6, 4:27pm	FB	Multi media	4714	36	1	Wonderful morning spent with the Woodburn Area Chamber
Wed Feb 25, 12:30pm	FB	Photo	4607	30	32	Join us tomorrow for our Community Town Hall
Tue May 12, 10:18am	FB	Multi media	4127	45	3	Building the future of women's care in our community
Mon Jul 13, 10:00am	FB	Photo	4075	63	8	The Santiam Canyon River Run is back
Wed Feb 18, 10:00am	FB	Photo	3900	17	42	Our Community Town Hall is coming up in February
Thu Mar 12, 10:00am	FB	Photo	3887	16	43	We invite you to join us for one of our Community meetings
Tue Feb 24, 7:00pm	FB	Multi media	3702	19	11	This morning at the Gates Fire Hall, Cheryl Nester Wolfe
Tue Mar 3, 10:30am	FB	Photo	3666	60	1	Last Friday, Cheryl Nester Wolfe, MSN, RN, CEO
Mon Jul 6, 2:01pm	FB+IG	Multi media	3450	53	3	Santiam Hospital & Clinics was proud to celebrate
Tue Aug 25, 2:00pm	FB	Multi media	3428	31	4	Community Benefit in Action — backpacks and soccer
